1,18,1,315112,5
2,1,2,3151514
2,1,3,3151514
3,5,4,295030
3,5,5,295030
4,12,6,350986
5,15,7,166891
6,51,8,647584
7,60,9,1192047
8,57,10,1712923
8,57,11,1712923
9,70,12,696458
10,54,13,1040615
11,76,14,258116
12,21,15,216758
12,21,16,216758
13,76,17,208219
13,76,18,208219
14,47,19,785868
15,70,20,2329599
16,12,21,661407
17,1,22,413048
17,1,23,413048
18,43,24,3728704
19,21,25,1575532
20,74,26,154761
21,54,27,298438
22,1,28,2099490
23,30,29,3195889
24,74,30,688143
25,68,31,2958556
26,52,32,3471064
27,73,33,1204982
29,7,36,1885951
29,7,37,1885951
30,36,38,4561821
31,68,39,5807700
32,5,40,1378959
33,22,41,3232014
34,67,42,4342634
35,75,43,697993
36,1,44,2793033
37,20,45,948159
38,19,46,571952
39,36,47,813566
40,64,48,906138
41,72,49,555123
42,39,50,595006
43,36,51,2841707
44,32,52,549441
45,64,53,133404
47,45,55,4933924
48,21,56,1197231
48,21,57,1197231
49,1,58,183169
50,1,59,1916928
51,67,60,1322354
52,16,61,1264713
53,77,62,360136
54,4,63,282795
55,20,64,298757
56,50,65,1761931
57,1,66,1955880
58,29,67,317495
59,43,68,1802407
61,70,70,474598
61,70,71,474598
62,47,72,698850
63,22,73,224742
63,22,74,224742
64,64,75,217928
65,36,76,1357458
66,48,77,5879320
67,16,78,4518183
68,37,79,3645529
69,64,80,501152
70,8,81,915239
70,8,82,915239
71,1,83,2695819
71,1,84,2695819
72,1,85,3287346
72,1,86,3287346
73,72,87,2564611
75,1,89,1085901
76,52,90,580237
77,63,91,927958
78,74,92,2469502
79,3,93,191752
80,43,94,243714
80,43,95,243714
81,74,96,235073
82,26,97,4840846
83,26,98,1417985
83,26,99,1417985
84,44,100,2374918
85,68,101,311183
86,54,102,444927
86,54,103,444927
88,31,105,184682
89,68,106,159216
90,1,107,2839857
91,17,108,537088
93,2,110,488783
95,1,112,2284032
95,1,113,2284032
96,68,114,6749870
96,68,115,6749870
97,74,116,1229270
97,74,117,1229270
98,55,118,172406
98,55,119,172406
99,1,120,2513988
100,41,121,1691619
101,35,122,1278571
102,11,123,1768092
103,44,124,1714758
104,37,125,402639
104,37,126,402639
105,21,127,493762
106,63,128,1854795
107,64,129,1058023
108,53,130,1532849
109,53,131,203528
110,36,132,1429406
112,6,134,884722
